content_id,counter,caption
n01664990_7133,1,"The image features a sea turtle swimming gracefully underwater. Surrounding it are colorful coral reefs and various marine vegetation, showcasing a vibrant underwater ecosystem. The turtle appears to be gliding through the clear water, highlighting the serenity and beauty of marine life."
n02090827_10084,1,"The image features a black greyhound resting on a blanket, surrounded by two plush toys: a teddy bear and a red tomato. The greyhound appears calm and content, holding the tomato toy, while the teddy bear lies beside it, creating a sense of comfort and companionship."
n02802215_4806,1,"The image depicts a basketball approaching a hoop. The ball, colored in red, blue, and white, is on a trajectory towards the net. The hoop and backboard are visible, indicating an indoor basketball setting, focused on the action of scoring in the game."
n04409515_6804,1,"The image features a bright green tennis ball positioned on a striped surface, with a remote control nearby. The main subjects are the tennis ball and the remote, suggesting an interaction or setting related to sports or leisure activities. The background’s striped pattern adds texture to the scene."
n01664990_65,1,"The image features a green sea turtle swimming amidst vibrant coral reefs. The turtle is close-up, showcasing its distinctive shell patterns and features, while colorful coral structures and marine life surround it, illustrating an underwater habitat. The scene conveys a serene ocean environment rich in biodiversity."
n04373894_41541,1,"The image features an ornate sword displayed on a clear stand. The blade has intricate engravings and a polished finish, highlighting craftsmanship. Its hilt is detailed, suggesting historical or cultural significance. The background is blurred, emphasizing the sword as the central focus of the display."
n03261776_27103,1,"The image features a pair of white earphones lying on green grass. The setting conveys a casual, outdoor environment, suggesting themes of relaxation and enjoyment of music. The focus is on the earphones, indicating a connection to sound and personal listening experiences."
n02226429_15538,1,"The image features a grasshopper resting on a large green leaf. The backdrop includes multiple overlapping leaves, enhancing the natural setting. The grasshopper, with its brownish coloration and detailed textures, is the focal point, illustrating the harmony of insects within a plant-filled environment."
n02226429_14311,1,"The image depicts a green grasshopper perched on a lush green leaf. Its elongated body and prominent antennae are visible, showcasing the insect's detailed features against the backdrop of foliage in a natural environment. The scene emphasizes the grasshopper's camouflage and its relationship with the surrounding vegetation."
n12582231_20158,1,"The image features tall palm trees against a bright blue sky. The palm fronds are lush and green, swaying gently, suggesting a tropical or coastal setting. The scene conveys a sense of tranquility and nature, emphasizing the beauty of the landscape."
n02885462_13911,1,"The image features a pair of black boxing gloves, branded with ""PUNCH."" The gloves are designed for combat sports, indicating themes of strength, training, and competition. Their sleek appearance suggests readiness for action, representing sportsmanship and athleticism."
n02480855_16790,1,"The image features a gorilla holding a piece of bamboo and chewing on it, surrounded by greenery. The gorilla looks contemplative and focused, highlighting its natural behavior and interaction with the environment. The setting conveys a sense of tranquility and connection to nature."
n04497801_19746,1,"The image features a set of metal tuning forks arranged on a red velvet background. There are eight tuning forks of varying sizes, indicating different pitches. The semantic concepts include sound, music, and tuning, highlighting their use in musical and acoustic applications."
n02481823_23004,1,"The image features three primates sitting in a natural setting. Two are seated intimately with one grooming the other, while the third stands nearby, observing. The environment includes green grass and rocks, suggesting a habitat typical of these animals. The scene conveys social interaction and bonding among the primates."
n04409515_3798,1,"The image features a bright yellow tennis ball resting on a concrete surface, near a yellow line. The background includes greenery and buildings, suggesting a sports or recreational area. The ball appears to be stationary, highlighting its role as the main subject in this setting."
n03496296_14114,1,"The image depicts a beautifully crafted harpsichord, showcasing intricate detailing and ornate designs. It features a slanted lid with decorative elements and elegant legs, highlighting its Baroque style. The instrument is poised for performance, emphasizing its artistic and musical significance."
n03623556_20302,1,"The image features several knives with black handles, displayed prominently alongside a military-style weapon and ammunition. The knives vary in size and design, emphasizing their sharp blades. The background includes a textured fabric, contributing to a tactical atmosphere, suggesting themes of utility and preparedness."
n02236241_6815,1,"The image features a close-up of a praying mantis positioned on a textured surface. The mantis stands upright, showcasing its long antennae and distinct posture, suggesting alertness. The blurred background emphasizes the insect, highlighting its intricate details and natural environment."
n03436182_12210,1,"The image features a vintage boombox with a metallic finish. Key elements include dual speakers, a cassette deck in the center, and various controls and buttons on top. Retractable antennas extend from the device, indicating its radio capabilities. The overall design reflects a nostalgic aesthetic typical of the 1980s and 1990s music culture."
n03886762_12568,1,"The image features a collection of binder clips, predominantly in black, scattered on a light-colored surface. One white binder clip is positioned separately from the others. The focus is on these office supplies, suggesting themes of organization and functionality. The lighting adds a soft, subtle contrast to the clips."
n02472293_34273,1,"The image features two young men sitting outdoors in a grassy area. One has short, styled hair and a serious expression, while the other has curly hair and a more contemplative look. Their body language suggests they are engaged in a deep conversation or reflecting on something significant. The setting appears warm and natural."
n03063599_2682,1,"The image features a coffee mug adorned with a stylized pirate skull wearing a red pirate hat. The skull has a playful expression, complete with a heart-shaped eye. The background includes a dark, textured design, enhancing the pirate theme. The mug likely conveys a whimsical or humorous tone, appealing to fans of pirate culture."
n03815615_17450,1,"The image features three neckties arranged on a flat surface. The top tie is patterned with floral designs, the middle tie is red with circular motifs, and the bottom tie is dark with a subtle pattern. The visual emphasis is on the variety of colors and patterns in neckwear, highlighting their potential use for formal occasions."
n02005790_11821,1,"The image features a white ibis with a long, curved beak and vibrant red facial features. It stands on a textured gray surface, likely a pavement. The bird's posture suggests curiosity or alertness, and the lighting indicates a sunny environment."
n01726692_8752,1,"The image features a vibrant green snake coiled around a branch. The snake has distinctive scales, showcasing its texture and color. Its head is visible, revealing a focused expression, suggestive of its predatory nature. The background is minimal, emphasizing the snake's habitat on the branch."
n02068974_7285,1,"The image features a dolphin emerging from water, showcasing its streamlined body and playful expression. The vibrant blue water creates a lively backdrop, highlighting the dolphin's glossy skin and emphasizing its aquatic environment. This setting suggests a serene yet dynamic underwater scene."
n03886762_9466,1,"The image features a collection of colorful paperclips scattered on a surface. The paperclips are in various colors—red, yellow, blue, green, and white—creating a vibrant visual contrast. The arrangement appears casual, highlighting the everyday utility and organizational aspect of these office supplies."
n03790512_13675,1,"The image features a vintage BMW motorcycle displayed against a backdrop of a circular framed photograph depicting a street scene. The motorcycle is positioned on a glossy surface, surrounded by a red rope barrier, suggesting its value as an exhibit in a museum or showcase."
n02692877_31838,1,"The image features a blimp displaying the logo and website of 23andMe, a personal genetics company. It is floating in a clear sky, symbolizing innovation in genetic research and personal ancestry. The blimp serves as an advertisement, emphasizing the company's focus on genetic testing and research."
n04555897_7654,1,"The image features three different watches, each with unique designs and straps. They are positioned on a flat surface, with some cables connected, indicating a charging or syncing function. The watches display various digital and analog time formats, showcasing their technological capabilities."
n07756951_18174,1,"The image features a large, oval-shaped watermelon resting on green grass. The watermelon has a striped green skin with lighter patterns, indicating its ripeness. Surrounding the fruit are patches of green leaves, suggesting a natural, agricultural setting. The overall scene conveys a sense of growth and harvest."
n03665924_52000,1,"The image features three colorful light bulbs with intricate designs. Each bulb is predominantly covered in vibrant patterns, with floral elements. They rest on a wooden surface, suggesting a decorative or artistic theme, likely intended for illumination or aesthetic enhancement."
n04398044_16414,1,"The image showcases a traditional teapot, featuring intricate engravings and a rounded body. The lid is adorned with a decorative knob, and the spout is elegantly shaped. The surface exhibits a dark finish, emphasizing its craftsmanship. The teapot is likely displayed in a museum setting, highlighting its cultural significance."
n02885462_20113,1,"The image features a close-up of red boxing gloves hanging from a rope, suggesting a boxing or training environment. The background appears blurred, emphasizing the gloves as the main subject, which signifies preparation, sport, and competition. The text ""CD BANK"" is visible, possibly indicating sponsorship."
n07734744_8048,1,"The image features a large mushroom with a textured, rounded cap and a thick stem. It's positioned on the ground among grass and fallen leaves. The mushroom's surface exhibits natural patterns, suggesting a fungal growth in a forested or outdoor environment."
n04009552_15796,1,"The image features a projector mounted on a shelf, emitting a bright beam of light. The background is dim, emphasizing the light's projection. The main subject is the projector itself, highlighting its function in displaying visual content. The scene suggests a setting for presentations or movies."
n03792782_13140,1,"The image features a pink bicycle prominently displayed with branding visible on the frame. It's parked on a paved surface bordered by greenery. The bicycle appears to be aimed at a younger audience, likely children, suggested by its vibrant color and design."
n04409806_7672,1,"The image depicts a young man playing tennis on a court. He is crouched and reaching for a ball, demonstrating agility and focus. He wears a gray shirt, red shorts, and a red cap, with a tennis racket in hand. The setting features a netted background and a clear outdoor environment."
n04442441_3265,1,"The image features a Hello Kitty-themed toaster oven with bright pink controls and a playful design. It is set on a cluttered countertop surrounded by various kitchen items, including a yellow decorative object and packages. The scene conveys a whimsical, cozy kitchen atmosphere."
n04254680_1190,1,"The image features a large, decorated soccer ball displayed on a stone pedestal. The ball is covered in signatures. A sign in front conveys a message, likely about sportsmanship or encouragement. The background appears minimal, emphasizing the ball and its pedestal as central subjects."
n03815615_21684,1,"The image features a close-up of a person's neck and upper chest, showcasing a colorful, patterned necktie tied neatly. The tie displays various diagonal stripes in pink, gold, and black, set against a solid blue shirt. The overall appearance suggests a formal or business attire context."
n04090263_30280,1,"The image features a rifle placed on rugged terrain, with rocky surfaces and sparse vegetation. The gun is detailed with a wooden stock and a strap, suggesting it is in an outdoor or wilderness setting. The composition highlights the dichotomy between the weapon and its natural surroundings."
