content_id,counter,caption
n04409515_3798,1,"A bright yellow tennis ball rests on a pavement with a yellow line, surrounded by a park-like setting."
n03496296_14114,1,"The image depicts a beautifully crafted harpsichord, featuring intricate designs and elegant legs, highlighting musical artistry and craftsmanship."
n03623556_20302,1,"The image features several knives displayed alongside ammunition and a military firearm, emphasizing a tactical theme."
n02236241_6815,1,"A close-up of a praying mantis on a textured surface, showcasing its distinct features and posture."
n03436182_12210,1,"A vintage boombox with cassette player, speakers, and antennae, showcasing retro audio technology."
n02472293_34273,1,"Two young men are sitting in a natural setting, appearing contemplative and engaged in conversation."
n03886762_12568,1,"The image features multiple black binder clips scattered on a surface, with a white binder clip partially visible."
n03063599_2682,1,"The image features a playful skull with a pirate hat and crossbones, conveying a humorous or whimsical pirate theme."
n02005790_11821,1,"A white bird with a long beak and red facial features stands on a textured surface, possibly in an urban setting."
n03815615_17450,1,"The image displays three ties on a surface: a floral tie, a patterned red tie, and a dark tie."
n01726692_8752,1,"A green snake coiled around a branch, displaying distinctive scales and a focused expression."
n02068974_7285,1,"A close-up of a dolphin's head emerging from blue water, highlighting its features and playful expression."
n03886762_9466,1,"The image features a scattered arrangement of colorful paper clips, highlighting their varied colors and shapes on a light surface."
n02503517_8447,1,"A baby elephant walks through lush green grass, surrounded by shrubs, displaying its natural habitat."
n02692877_31838,1,"A blimp displaying ""23andMe.com"" and ""personal genetics,"" floating in a clear sky."
n03790512_13675,1,"A vintage motorcycle displayed behind a red rope barrier, with an artistic backdrop of a cityscape."
n04555897_7654,1,"The image features three wristwatches, showcasing various designs and functionalities, connected by charging cables."
n07756951_18174,1,"A large watermelon resting on grass, surrounded by green leaves and foliage."
n03665924_52000,1,"The image features three colorful decorative light bulbs, each with unique patterns and floral designs, resting on a wooden surface."
n04398044_16414,1,"The image features an intricately designed brown teapot adorned with engravings, showcasing traditional craftsmanship."
n02885462_20113,1,"The image features red boxing gloves hanging, suggesting a boxing theme or training environment."
n07734744_8048,1,"A large mushroom stands on the ground, surrounded by grass and debris, showcasing its textured cap and stem."
n03792782_13140,1,"The image features a pink bicycle, showcasing its handlebar, frame, and wheels, set against a green background."
n04009552_15796,1,"A ceiling-mounted projector emits a beam of light, creating a focused projection in a dimly lit space."
n04409806_7672,1,A player in red shorts and a gray shirt is lunging to hit a tennis ball on a court.
n04442441_3265,1,"A colorful Hello Kitty toaster oven on a shelf, surrounded by various kitchen items and decorative objects."
n03815615_21684,1,"A close-up of a person's neck featuring a colorful, patterned tie and a blue shirt, suggesting a formal or business setting."
n04090263_30280,1,"A rifle rests on rocky terrain, showcasing its wooden stock and metal components, amidst natural surroundings."
n04254680_1190,1,"A large signed soccer ball displayed on a pedestal with a sign. The setting is minimalist, highlighting the ball's significance."
n12582231_18321,1,A tall palm tree with vibrant green fronds against a clear blue sky.
n04009552_10330,1,"The image shows a silver NEC projector placed on a tiled surface, showcasing its lens and ventilation."
n01518878_8432,1,"An ostrich is walking in a natural environment, showcasing its long legs and distinct feathers."
n03602883_22505,1,"A laptop displaying a fighting game, accompanied by an arcade joystick and buttons for gameplay interaction."
n02885462_17169,1,"Two young boxers sparring in a gym, wearing protective gear, surrounded by spectators."
n02974003_2406,1,"The image features a silver alloy wheel with a central Ford emblem, showcasing its spokes and design."
