content_id,counter,caption
n03063599_5015,1,"Two vessels with dark liquid, one with a light contrasting surface and intricate gold imagery. The background features warm wooden tones."
n04044716_13601,1,"A large gray structure with a circular mesh pattern looms above a smiling child in dark clothing, positioned before a round, orange-brown building amidst greenery."
n03079230_20064,1,"Translucent circular object with a central hole, surrounded by smooth, spherical shapes in earthy tones and a textured, curved background of green and pink foliage."
n03543603_8721,1,"Three figures are partially submerged in a blue, rippling surface. Surrounding them are soft, rounded edges and reflections. The background features brick and light wood hues."
n01768244_10258,1,"The image features earthy tones of brown and yellow hues, with rounded shapes and smooth textures clustered together on a rugged surface."
n12582231_21170,1,"A tall, slender structure with elongated green fronds extending outward against a light blue backdrop, creating a sense of upward movement."
n04225987_6877,1,"A figure in light clothing glides on a board across a textured gray surface. Nearby, vehicles and people in darker tones create a busy backdrop."
n03743279_13788,1,"A crowd of diverse figures, dark jackets, and bright signs, contrasting with a muted background. Circular object in the foreground, hands gesturing prominently."
n04255586_3274,1,"Two cylindrical containers in vibrant red and green flank a circular metallic object with tiny holes, resting on a textured surface. A small, yellow lighter is nearby."
n03400231_18679,1,"A dark, curved container holds a round, yellow center surrounded by a pale, soft surface. Reflections shimmer on metallic surfaces in the background, framed by greenery."
n04070727_9914,1,"Bright whites and muted greens fill the spaces, with pops of red and yellow scattered among various shapes. Containers are organized in layers, creating a structured visual."
n03187595_6454,1,"A shiny golden object, a circular array with numbers, and a flat rectangular surface with brown texture. Dark, smooth curves and metallic accents contrast against a light backdrop."
n04412416_8901,1,"Two conical structures in cream and red with vibrant patterns, surrounded by earthy tones and a sparse background under a cloudy sky. A wooden bench is nearby."
n04284002_15310,1,"A shiny, metallic trio of elongated shapes in a line, accompanied by a circular white form and a dark sphere above."
n03397947_7453,1,"The scene features green and brown grass, contrasting with colorful attire. Figures in motion exhibit varied postures, with a circular object prominently in focus."
n03496296_10113,1,"A soft green structure with horizontal wooden strips, paired with a dark wooden chair. Bright curtains frame a light space, revealing intricate patterns."
n01784675_9652,1,"A dark, elongated form with segmented sections, contrasting vivid red appendages, rests among vibrant green, slender blades with varied textures."
n03261776_27103,1,"A close-up view of light-hued elongated forms resting on vibrant green blades, interspersed with darker patches, under soft natural lighting."
n03607659_1968,1,"A figure in camouflage, gripping a metallic, elongated object, focuses intently. Earthy tones contrast with the sharp metallic sheen, while blurred green backgrounds suggest depth."
n03790512_23966,1,"A glossy deep blue form in motion, featuring smooth rounded edges and reflective surfaces. A contrasting dark sphere above and a textured fabric below. Green hilly background."
n04044716_7225,1,"A vast landscape features curved metallic surfaces, earthy tones in vegetation, and a narrow path lined with irregular shapes leading into the distance."
n04255586_1521,1,"Two metallic cylindrical objects, adorned with bright gold and blue hues, glistening with droplets, positioned slightly askew against a dark, reflective surface."
n04113406_21007,1,"A circular structure with alternating dark and light segments, a shiny metallic central element, and a smooth wooden surface. Colorful small disks are in the background."
n02054036_15344,1,"A dark, smooth silhouette with glossy feathers stands against a soft blue backdrop. A vibrant orange patch contrasts near the eye. Textured rock forms one side."
n03335030_54164,1,"A sleek, elongated form with a dark tip and pale green body, accented by orange highlights and underside details."
n01784675_18607,1,"A long, segmented form in shades of orange and brown, with dark stripes and yellow extensions, rests on a textured, earthy background of rocks and dry leaves."
n03209910_22305,1,A gray rectangular shape with a white label featuring black text and an illustrated device. Colorful logo in the top corner with a red square.
n03359137_19465,1,"A dark surface supports two elongated objects; one horizontal, maroon with buttons, and one vertical, silver with a circular end, both featuring smooth textures."
n07734744_13895,1,"A pale, rounded formation with ridges on top, supported by a smooth, lighter cylindrical structure. Surrounding it are earthy tones and scattered, dried vegetation."
n03394916_36485,1,"Two individuals stand side by side, one in white with a dark tie, the other in black. They hold shiny metallic objects, amidst a backdrop of blue seating."
n03541923_11509,1,"A large, multicolored spherical form hovers against a blue sky, surrounded by snow-covered ground and distant hills. People and vehicles are scattered below."
n03512147_47076,1,"A dark silhouette with rotor blades above a path, surrounded by varying shades of green bushes and gray sky, with figures arranged below."
n02005790_11191,1,"A tall figure with elongated limbs and a slender neck displays a contrast of white and dark hues, perched on a shiny surface with greenery in the background."
n02131653_3900,1,"A furry head with shades of brown and orange, featuring small ears, a broad snout, and dark, expressive eyes. Textured fur contrasts around the face."
n02005790_5354,1,"A white figure with a long red appendage stands in front of a blurred background of soft whites and greens, showcasing textures of feathers and water reflections."
n03345487_8958,1,"A vibrant red vehicle with chrome accents dominates the foreground. Two figures stand nearby, surrounded by white shapes stacked behind, against a blue sky."
n04373894_59446,1,"The image features dark metallic shapes with varying heights, circular ends, and a smooth horizontal element across the center, set against a light backdrop."
n04272054_56965,1,"A close-up of a face featuring dark, straight hair, round dark frames, and a warm brown eye. Subtle skin tones contrast with the glasses."
n02472293_13453,1,"A figure in a vibrant pink outfit with a white collar, wearing oversized glasses. The background features a blurred crowd with various skin tones and hair colors."
n02998003_7158,1,"A vibrant vertical layout features bold text in black, a yellow and red figure, and circular shapes of varying sizes, all against a light background with stars."
n03743279_4728,1,"A man with long, gray hair is holding a cylindrical object close to his mouth, surrounded by blurred figures and colorful signs in the background."
n04168199_9434,1,A figure stands on a rounded base with two large circular elements beneath. The background features a checkered flooring pattern in warm and cool tones.
n04255586_4487,1,"A row of cylindrical containers in varied colors: reds, greens, yellows, blues, and oranges, featuring tactile patterns and text in diverse fonts."
n03646296_1689,1,"A rectangular metallic structure with various knobs and dials, featuring a rotating component and linear elements, primarily in shades of gray and white, positioned on a concrete floor."
n13111881_6560,1,"A lush green form with curved outlines atop a cylindrical stone base. A figure in soft hues gently pours water, framed by dark wooden structures and soft lighting."
n01833805_9089,1,"A small, elongated figure with iridescent green and white tones, perched beside a bright red, circular object. The background features soft, blurred greens."
n02090827_7426,1,"A light brown and white figure with a long, extended pink appendage, framed by golden, textured vertical strands, creating a warm, earthy ambiance."
n03085219_4267,1,"A pale rectangular display sits above a white, flat surface, with a grid of small, raised elements in front. Dark vertical structures frame the setup."
n02445715_3558,1,"A small creature with bold black and white fur is positioned near a circular dish filled with colorful, dry food. The background features a pale wall and a blue container."
n04612026_10008,1,"A dark, rounded top adorned with intricate, colorful embroidery and shiny embellishments. Swirling patterns in vibrant hues contrast against a rich background."
n03950228_32200,1,"Three rounded forms in earthy tones—dark brown, warm orange, and light beige—display varied textures and glossy finishes against a black backdrop."
n04409515_3798,1,"A vibrant yellow sphere rests on a gray surface, with a contrasting yellow line nearby. Shadows stretch across the textured ground."
n03496296_14114,1,"A dark, polished object with intricate designs, featuring a vibrant orange lid, curved edges, and elegantly shaped legs."
n03623556_20302,1,"The image features dark handles with textured grips, sleek silver blades, and scattered brass casings on a textured surface."
n02236241_6815,1,"A slender, elongated form in muted browns and tans, with delicate antennae extending above. Fine textures contrast with a rough light surface beneath."
n03436182_12210,1,"Metallic gray surfaces, circular dark mesh, rectangular display, buttons and knobs in black and silver, two upright antennas, and a wooden base."
n03886762_12568,1,"A collection of black and silver objects of various sizes, with angular shapes and shiny surfaces, scattered across a light gray background."
n01726692_8752,1,"Curved shapes in vibrant green tones interweave around a textured brown object. A smooth surface contrasts with a scaled pattern, creating a dynamic composition."
n02068974_7285,1,"Smooth, gray contours with a pronounced curve; a lighter area near the top; surrounded by bright, turquoise fluid with soft ripples."
n03886762_9466,1,"Colorful elongated shapes in vibrant hues of red, blue, yellow, green, and white are scattered, overlapping at various angles against a light surface."
n02503517_8447,1,"A large gray form with rounded features, moving through lush green blades, under soft natural light, surrounded by scattered dark foliage."
n02692877_31838,1,"A large, elongated shape in white, featuring green and red accents. Text is prominently displayed on its side, against a clear blue sky."
n03790512_13675,1,"Curved metallic forms in black and silver, with a shiny texture. Circular elements contrast with straight lines. A glossy surface reflects red and earthy tones."
n04555897_7654,1,"Three timepieces with round faces, varying strap textures, metallic and matte finishes, set on a light surface. Dark dials with contrasting numerals and hands."
n07756951_18174,1,"A smooth, elongated form in various shades of green, featuring light and dark stripes. Surrounding greenery with soft textures and varying shapes."
n03665924_52000,1,"Three spherical objects in vibrant hues of green, red, and blue, adorned with intricate patterns and floral motifs, resting on a wooden surface."
n04398044_16414,1,"A dark, rounded form with a spout and handle, featuring detailed engravings. The surface is smooth, and the overall color is deep brown."
n02885462_20113,1,"A pair of vibrant crimson pouches hangs, displaying a textured surface. Their rounded forms contrast with a blurred background in muted shades, featuring a white linear element below."
n07734744_8048,1,"A broad, textured cap in muted browns sits atop a slender stem. Surrounding grassy elements in various shades complement the earthy tones."
n04009552_15796,1,"A dark backdrop features a cylindrical object emitting a glowing blue beam, creating light rays with a soft gradient. The base has angular support."
n03792782_13140,1,"Bright pink tubes with vibrant yellow text, dark rubber tires, and black grips; positioned against a green, leafy backdrop and a gray stone surface."
n04409806_7672,1,A figure in gray and red lunges on a green surface. A small yellow sphere is nearby. Fencing and greenery frame the background.
n03815615_21684,1,"A textured fabric in shades of blue above a multi-colored woven pattern featuring zigzag lines in pink, white, and black."
n04254680_1190,1,"A textured sphere with patterns in reds, greens, and blacks rests atop a gray, stone-like pedestal. Block designs embellish the sides."
n12582231_18321,1,"Tall, slender trunk supporting a fan-like arrangement of elongated green leaves against a clear blue backdrop. Textured bark and bright sunlight."
n04009552_10330,1,"A rectangular metallic object in silver and blue, featuring a circular black opening and parallel lines. Positioned on a grid of square tiles, mostly in muted shades."
n03602883_22505,1,"A dark device with a rectangular opening displays vivid characters in motion. Nearby, a textured, grey accessory features a black handle and buttons in red and white."
n01518878_8432,1,"A tall figure with a long neck, featuring a smooth pinkish hue and fluffy black feathers, positioned upright in a green, grassy landscape."
n02885462_17169,1,"Two figures in protective headgear and gloves face each other in a vivid space. Red and blue lines frame the scene, with onlookers in muted tones behind."
n03085219_5196,1,A light gray rectangular shape sits atop a darker rectangular platform. A flat surface features a grid of dark keys in front. A vibrant blue backdrop displays colorful icons.
n02236241_3660,1,"Green elongated forms with thin appendages are positioned against a textured backdrop of muted browns and grays, featuring intersecting lines and an organic feel."
n01833805_12464,1,"A small creature with iridescent greens and subtle greys hovers against a light background, wings blurred in motion, cast against a reflective surface."
n04044716_16479,1,"A large, circular, metallic structure with a smooth surface and a dark rim, suspended by slender wires against a cloudy backdrop."
n02692877_15805,1,"A large elongated shape floats against a pale sky, with bold yellow lettering and dark blue accents, evoking a sense of vertical movement."
n07756951_14073,1,"A vibrant arrangement of green spheres with dark stripes, interspersed with two pink and red circular sections, all on a textured surface."
n01855672_14199,1,"Two slender figures with dark necks and light bodies stand on a grassy bank, surrounded by green and yellow flora, next to calm blue waters."
n01855672_15767,1,"A dark head with a light neck, rounded body in earthy tones, surrounded by soft white flakes, against a blurred background of muted greens and grays."
n01639765_37122,1,"A bright yellow-orange form with dark patterns sits atop a vibrant green flat surface, surrounded by smooth, varied green foliage and a textured backdrop."
n03436182_7185,1,"A sleek, rounded metallic structure in silver and blue, featuring circular openings and a display panel. A small remote is positioned nearby."
n11978233_16933,1,"A vibrant yellow circular shape with pointed extensions surrounds a textured green center, supported by a slender green stalk against a blurred green backdrop adorned with droplets."
n04284002_14660,1,"A series of metallic, polished objects in various elongated shapes, arranged horizontally, exhibiting different textures and finishes."
n03665924_17703,1,"A softly glowing orb in warm yellow sits against a dark background, with smooth contours and a partially visible base. Reflective surface below."
n04497801_3101,1,"A wooden box contains elongated metallic strips, arranged in a linear fashion, with a rubber-tipped tool on one side against a dark, textured background."
n01963571_16954,1,"Curved dark shells with glossy surfaces cluster together, interspersed with splashes of orange and blue. A transparent vessel with a pinkish liquid is positioned nearby."
n02432983_31019,1,"A large, dark brown figure with a broad, textured head and prominent, branched appendages. Green foliage appears softly blurred in the background."
n03544143_8694,1,"Two curved glass shapes with a dark frame, filled with tan granules flowing from one to the other, set against a dark background."
n03543603_2363,1,"A round, wooden structure with steam rises above. Lush greenery in varied shades surrounds, contrasting with gravel and distant dark structures. Soft light filters through."
n02998003_3934,1,"Bright green background with playful characters in various colors. Circular shapes and exaggerated features, with a bowl of circular items at the bottom center."
n03792782_34550,1,"A dominant black structure with a red accent, featuring round dark shapes for wheels highlighted by yellow segments, set against a muted background with light textures."
n04168199_9648,1,"A tree-lined path with sunlit greenery, circular black bases, and figures in vibrant attire moving forward. Textured trunks and shadows create depth."
n04591713_5928,1,"Four slender, elongated containers in various shades: gold, deep red, light yellow, and dark maroon. Labels with text and decorative elements are visible."
n01518878_14910,1,"A tall, elongated figure with a dark, fluffy body and light, slender limbs strides along a gravel path, surrounded by greenery and distant shapes."
n04197391_18597,1,"A light blue fabric surface, short sleeves, collar, and buttons running vertically. A small logo on the chest area against a neutral background."
n04409515_11072,1,"A spherical, vivid green object rests on a textured surface with soft, pale tones. Grass-like elements appear nearby, with a blurred background creating depth."
n03397947_6288,1,"A hand grips a bright yellow disc against a backdrop of bare trees and fallen, brown leaves, framed by a gray path."
n04409515_5752,1,"A bright yellow sphere with a fuzzy texture rests on a dark green, textured surface, positioned slightly to the side of the image."
n02374451_18010,1,"A pair of brown figures wade through calm water, surrounded by scattered dark shapes in the distance, with mud and greenery visible near the shore."
n03609235_4455,1,"Two figures on water, one in light blue, the other in orange. Soft reflections, green surroundings, and a muted sky enhance a serene atmosphere."
n02974003_1210,1,"A glossy circular metallic surface reflects light, surrounded by a thick black curved form. Bright yellow and white stripes contrast against muted backgrounds."
n03918737_27172,1,"A rectangular device in a hand, featuring a dark case. A luminous screen displays a digital clock and icons in various shades of blue and gray."
n04086273_14599,1,"The image features various metallic objects with distinct shapes and handle textures, positioned on a multi-colored, grid-patterned surface of warm tones."
n07734017_4118,1,"Circular shapes in various vibrant hues of red and green, with smooth and shiny surfaces. Some pieces have light reflections and subtle textures."
n03646296_9175,1,"Metallic surfaces, shiny and matte textures, circular knobs, rectangular panels, an array of dials, long linear components, and industrial lighting above."
